iter	MultiClass
0	0.9586748255
1	0.8525833448
2	0.7678232939
3	0.698978671
4	0.642408617
5	0.5942557452
6	0.553026041
7	0.5176899106
8	0.4870623112
9	0.4605959803
10	0.4373671119
11	0.4169036917
12	0.3986773864
13	0.3826690194
14	0.3681191749
15	0.3555097995
16	0.3443128898
17	0.333676999
18	0.3243676507
19	0.3158686997
20	0.3082311828
21	0.301396057
22	0.2950269474
23	0.2894050652
24	0.2845417182
25	0.2799203486
26	0.2755817858
27	0.2719521521
28	0.2682452068
29	0.2647873372
30	0.2615729858
31	0.2591028353
32	0.2564733566
33	0.2538914205
34	0.2518644779
35	0.2495458693
36	0.2475284738
37	0.245727276
38	0.2441377636
39	0.2425269562
40	0.2411111339
41	0.2397627185
42	0.2387140855
43	0.2373973928
44	0.23629134
45	0.2353127828
46	0.2344440028
47	0.233305237
48	0.2323543029
49	0.2315317448
50	0.2305284809
51	0.229799027
52	0.2290623921
53	0.2283885284
54	0.2277107715
55	0.2269980593
56	0.2264310151
57	0.2257583894
58	0.2252291481
59	0.2246166109
60	0.2239949532
61	0.2234807753
62	0.2228470118
63	0.2223634147
64	0.2219531674
65	0.2214147917
66	0.2207849076
67	0.2203901501
68	0.2200821826
69	0.2196921712
70	0.2192459918
71	0.2188954753
72	0.2185232373
73	0.2181791039
74	0.2177797793
75	0.2174542584
76	0.2169417863
77	0.2166529542
78	0.2162718294
79	0.2160676274
80	0.2157475404
81	0.2153403333
82	0.2149983597
83	0.2147521865
84	0.2143758353
85	0.2140701101
86	0.2137858589
87	0.2134815369
88	0.2132030083
89	0.2129364067
90	0.2127560311
91	0.2125911866
92	0.2124172077
93	0.212029356
94	0.2117782718
95	0.2115952961
96	0.2111485527
97	0.2107897411
98	0.2105897624
99	0.2103828504
100	0.2102354216
101	0.2100214938
102	0.2097877428
103	0.2095678858
104	0.209188577
105	0.2090065093
106	0.2086126185
107	0.2084634289
108	0.2082266239
109	0.2080313912
110	0.2078222919
111	0.2076588643
112	0.2074799881
113	0.207108658
114	0.2068792403
115	0.2067188667
116	0.2066508819
117	0.2065288614
118	0.2064008982
119	0.2062348568
120	0.2060979931
121	0.2059379496
122	0.2056650337
123	0.2054950855
124	0.2053310801
125	0.2052037359
126	0.2050023403
127	0.204849684
128	0.2046572026
129	0.204434787
130	0.204271662
131	0.2041112884
132	0.2039589073
133	0.2038238456
134	0.2035822259
135	0.2033576642
136	0.2032133307
137	0.2030427084
138	0.202946454
139	0.2028483699
140	0.2026749688
141	0.2024859678
142	0.2022977509
143	0.2021213646
144	0.2020454561
145	0.2018849174
146	0.2018044279
147	0.2016847048
148	0.2015970619
149	0.2014856615
150	0.2012734808
151	0.2011716274
152	0.2010722915
153	0.2009093453
154	0.2007960465
155	0.2006606135
156	0.2004558612
157	0.2003750278
158	0.2002178044
159	0.2001015342
160	0.1999909317
161	0.1999141015
162	0.1997641002
163	0.1996563866
164	0.1995550147
165	0.1994288673
166	0.1992458504
167	0.1991500911
168	0.1990383193
169	0.1988854842
170	0.1987167053
171	0.1986153472
172	0.1985149108
173	0.1983962469
174	0.1981830344
175	0.1980704234
176	0.1979678822
177	0.1978707198
178	0.1978089668
179	0.1976369276
180	0.1975905543
181	0.1974709825
182	0.1973746593
183	0.1972618695
184	0.1971823567
185	0.1969970975
186	0.1968264615
187	0.1967317065
188	0.196695458
189	0.1966221082
190	0.1965104051
191	0.1963463447
192	0.1961979255
193	0.196092179
194	0.1959883172
195	0.1959160128
196	0.1958277647
197	0.1957420752
198	0.1956748333
199	0.1955797894
200	0.1954694345
201	0.1953684065
202	0.1952332761
203	0.1951536808
204	0.195118189
205	0.1950207927
206	0.1948644085
207	0.1947993951
208	0.1947157966
209	0.1946774572
210	0.1945578029
211	0.1944706552
212	0.1944024503
213	0.1943060446
214	0.1941444878
215	0.1940902046
216	0.1940099077
217	0.1938913126
218	0.1938163395
219	0.1936026318
220	0.1935234492
221	0.1934553818
222	0.1933280789
223	0.1932011198
224	0.1931101066
225	0.1930239632
226	0.1929386452
227	0.1928484299
228	0.1927520378
229	0.1926961726
230	0.1926472681
231	0.1925767659
232	0.1924972944
233	0.1923740496
234	0.1922632682
235	0.1921677704
236	0.1920587499
237	0.1919163147
238	0.1918532273
239	0.1917017403
240	0.1916146202
241	0.1914201716
242	0.1913345647
243	0.1912625217
244	0.1911897084
245	0.191123622
246	0.1910564489
247	0.1909922196
248	0.1909234782
249	0.1908301264
250	0.1907737384
251	0.1907205419
252	0.1906223615
253	0.1905085262
254	0.1904230844
255	0.1903455113
256	0.1902606335
257	0.1901993068
258	0.1900436242
259	0.189955266
260	0.1898709384
261	0.189815926
262	0.1897491381
263	0.1896844273
264	0.189581666
265	0.18942685
266	0.1893026698
267	0.1892153021
268	0.1891649807
269	0.1891277692
270	0.1890939144
271	0.1889863246
272	0.1888475762
273	0.188829734
274	0.1887237811
275	0.1886356018
276	0.1885554012
277	0.1884881868
278	0.1884242189
279	0.1883688076
280	0.1882891573
281	0.1881955853
282	0.1880898389
283	0.1879469773
284	0.1878485355
