iter	Passed	Remaining
0	18	27030
1	26	20086
2	34	17331
3	42	15762
4	49	14901
5	57	14298
6	65	13886
7	72	13549
8	80	13328
9	87	13096
10	95	12917
11	103	12774
12	110	12631
13	118	12530
14	125	12425
15	133	12384
16	141	12364
17	149	12329
18	157	12278
19	165	12219
20	172	12156
21	179	12090
22	187	12015
23	194	11935
24	201	11881
25	208	11839
26	216	11785
27	223	11741
28	231	11728
29	239	11722
30	246	11698
31	254	11659
32	261	11630
33	269	11606
34	276	11573
35	283	11547
36	291	11518
37	298	11477
38	305	11449
39	312	11412
40	319	11384
41	327	11355
42	334	11326
43	341	11307
44	348	11280
45	356	11265
46	363	11246
47	371	11225
48	378	11217
49	385	11188
50	393	11174
51	401	11177
52	408	11161
53	416	11158
54	423	11134
55	431	11128
56	439	11117
57	446	11105
58	453	11085
59	461	11070
60	468	11047
61	475	11021
62	482	11011
63	489	10993
64	497	10976
65	504	10964
66	512	10955
67	519	10941
68	526	10922
69	533	10904
70	541	10889
71	548	10870
72	555	10856
73	562	10840
74	570	10837
75	579	10856
76	588	10867
77	600	10956
78	610	10983
79	617	10967
80	625	10951
81	632	10943
82	639	10924
83	647	10920
84	654	10903
85	662	10894
86	669	10873
87	677	10868
88	684	10850
89	691	10833
90	699	10827
91	706	10814
92	714	10804
93	721	10790
94	729	10791
95	736	10775
96	744	10771
97	751	10756
98	759	10745
99	766	10731
100	773	10715
101	781	10708
102	788	10693
103	796	10685
104	803	10668
105	810	10652
106	817	10642
107	824	10627
108	831	10615
109	838	10600
110	845	10584
111	852	10567
112	860	10557
113	867	10546
114	874	10533
115	881	10520
116	888	10506
117	895	10492
118	902	10479
119	910	10467
120	917	10453
121	925	10450
122	932	10443
123	940	10441
124	948	10430
125	955	10417
126	962	10409
127	969	10395
128	977	10383
129	983	10369
130	991	10359
131	998	10346
132	1005	10331
133	1012	10321
134	1019	10310
135	1026	10298
136	1033	10286
137	1041	10274
138	1048	10262
139	1055	10251
140	1062	10238
141	1069	10227
142	1076	10216
143	1083	10203
144	1090	10192
145	1098	10183
146	1105	10172
147	1112	10160
148	1119	10146
149	1126	10136
150	1133	10127
151	1140	10117
152	1148	10107
153	1155	10096
154	1162	10087
155	1169	10075
156	1176	10066
157	1183	10054
158	1190	10042
159	1197	10029
160	1204	10017
161	1211	10008
162	1218	9998
163	1226	9989
164	1233	9979
165	1240	9969
166	1247	9958
167	1255	9951
168	1262	9941
169	1269	9932
170	1276	9921
171	1283	9912
172	1291	9903
173	1298	9893
174	1305	9885
175	1312	9875
176	1319	9864
177	1326	9854
178	1333	9842
179	1340	9831
180	1347	9820
181	1354	9810
182	1362	9804
183	1370	9798
184	1377	9792
185	1384	9783
186	1392	9774
187	1399	9764
188	1406	9754
189	1413	9743
190	1420	9733
191	1427	9723
192	1434	9714
193	1441	9706
194	1448	9696
195	1456	9687
196	1463	9680
197	1470	9671
198	1478	9665
199	1485	9657
200	1493	9650
201	1500	9642
202	1507	9634
203	1514	9624
204	1521	9614
205	1529	9605
206	1536	9598
207	1543	9588
208	1550	9579
209	1557	9570
210	1565	9560
211	1572	9551
212	1579	9542
213	1586	9533
214	1594	9526
215	1601	9518
216	1608	9511
217	1615	9502
218	1623	9494
219	1630	9486
220	1637	9476
221	1644	9468
222	1651	9458
223	1658	9449
224	1665	9440
225	1673	9435
226	1681	9428
227	1688	9421
228	1695	9412
229	1702	9403
230	1710	9394
231	1717	9385
232	1724	9375
233	1731	9367
234	1738	9358
235	1745	9348
236	1752	9339
237	1759	9329
238	1766	9320
239	1773	9311
240	1780	9303
241	1788	9295
242	1795	9287
243	1802	9279
244	1809	9271
245	1817	9262
246	1824	9255
247	1831	9246
248	1838	9237
249	1845	9228
250	1852	9218
251	1860	9213
252	1867	9204
253	1874	9197
254	1882	9189
255	1889	9179
256	1896	9172
257	1903	9163
258	1910	9154
259	1917	9145
260	1924	9136
261	1931	9126
262	1938	9118
263	1945	9108
264	1952	9099
265	1960	9093
266	1967	9084
267	1974	9077
268	1981	9068
269	1988	9059
270	1995	9050
271	2002	9041
272	2009	9033
273	2016	9024
274	2024	9016
275	2031	9007
276	2038	9000
277	2045	8991
278	2052	8984
279	2060	8976
280	2067	8969
281	2075	8963
282	2082	8954
283	2089	8948
284	2097	8939
285	2104	8931
286	2111	8924
287	2118	8916
288	2125	8907
289	2133	8899
290	2140	8893
291	2147	8885
292	2154	8877
293	2162	8868
294	2169	8860
295	2176	8852
296	2183	8843
297	2190	8834
298	2197	8826
299	2204	8818
300	2211	8809
301	2218	8801
302	2225	8793
303	2233	8785
304	2240	8778
305	2247	8770
306	2254	8762
307	2262	8754
308	2268	8744
309	2275	8736
310	2282	8727
311	2289	8719
312	2297	8711
313	2304	8704
314	2311	8696
315	2318	8687
316	2325	8679
317	2332	8671
318	2339	8662
319	2346	8653
320	2353	8645
321	2360	8637
322	2368	8629
323	2375	8621
324	2382	8612
325	2389	8603
326	2396	8595
327	2403	8586
328	2410	8577
329	2417	8569
330	2424	8562
331	2431	8553
332	2438	8545
333	2445	8536
334	2452	8528
335	2459	8520
336	2466	8513
337	2474	8505
338	2481	8498
339	2488	8490
340	2495	8483
341	2503	8475
342	2510	8468
343	2517	8461
344	2525	8453
345	2532	8445
346	2539	8437
347	2546	8430
348	2553	8422
349	2560	8413
350	2567	8406
351	2574	8397
352	2582	8389
353	2589	8382
354	2596	8374
355	2603	8366
356	2610	8357
357	2617	8349
358	2624	8342
359	2631	8333
360	2638	8325
361	2646	8318
362	2653	8310
363	2660	8301
364	2667	8296
365	2675	8289
366	2682	8280
367	2689	8272
368	2696	8265
369	2703	8257
370	2710	8249
371	2717	8241
372	2724	8233
373	2731	8224
374	2739	8218
375	2747	8213
376	2756	8210
377	2763	8203
378	2771	8196
379	2778	8188
380	2785	8181
381	2792	8174
382	2799	8165
383	2807	8157
384	2814	8150
